iter	Passed	Remaining
676	1002	478
677	1003	476
678	1005	475
679	1006	473
680	1007	472
681	1008	470
682	1009	468
683	1010	467
684	1011	465
685	1013	463
686	1014	461
687	1015	460
688	1018	459
689	1019	458
690	1020	456
691	1022	454
692	1023	453
693	1025	451
694	1026	450
695	1027	448
696	1028	446
697	1029	445
698	1030	443
699	1033	442
700	1034	441
701	1035	439
702	1036	437
703	1037	436
704	1038	434
705	1039	432
706	1040	431
707	1041	429
708	1042	428
709	1043	426
710	1044	424
711	1045	423
712	1048	422
713	1050	420
714	1051	419
715	1052	417
716	1053	415
717	1054	414
718	1055	412
719	1057	411
720	1057	409
721	1058	407
722	1060	406
723	1062	405
724	1064	403
725	1065	402
726	1066	400
727	1068	399
728	1070	398
729	1071	396
730	1073	394
731	1074	393
732	1075	391
733	1076	390
734	1078	389
735	1080	387
736	1081	385
737	1082	384
738	1083	382
739	1084	381
740	1086	379
741	1087	378
742	1088	376
743	1090	375
744	1093	374
745	1095	372
746	1096	371
747	1098	369
748	1099	368
749	1101	367
750	1103	365
751	1104	364
752	1106	362
753	1109	361
754	1110	360
755	1112	359
756	1113	357
757	1115	356
758	1117	354
759	1118	353
760	1119	351
761	1121	350
762	1125	349
763	1126	348
764	1128	346
765	1130	345
766	1131	343
767	1132	342
768	1134	340
769	1135	339
770	1136	337
771	1140	336
772	1141	335
773	1142	333
774	1143	332
775	1145	330
776	1146	329
777	1147	327
778	1148	325
779	1150	324
780	1151	322
781	1154	321
782	1156	320
783	1157	318
784	1158	317
785	1159	315
786	1161	314
787	1162	312
788	1163	311
789	1165	309
790	1166	308
791	1167	306
792	1170	305
793	1171	303
794	1172	302
795	1173	300
796	1174	299
797	1175	297
798	1176	295
799	1177	294
800	1178	292
801	1179	291
802	1180	289
803	1181	288
804	1184	286
805	1185	285
806	1186	283
807	1187	282
808	1188	280
809	1189	279
810	1190	277
811	1191	275
812	1192	274
813	1193	272
814	1194	271
815	1195	269
816	1196	268
817	1197	266
818	1201	265
819	1202	263
820	1203	262
821	1204	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1209	253
827	1210	251
828	1211	249
829	1212	248
830	1214	247
831	1216	245
832	1217	244
833	1218	242
834	1220	241
835	1221	239
836	1222	238
837	1223	236
838	1224	235
839	1225	233
840	1226	231
841	1228	230
842	1230	229
843	1231	227
844	1233	226
845	1234	224
846	1235	223
847	1235	221
848	1237	220
849	1238	218
850	1239	216
851	1240	215
852	1241	213
853	1242	212
854	1245	211
855	1247	209
856	1249	208
857	1251	207
858	1252	205
859	1253	204
860	1254	202
861	1256	201
862	1257	199
863	1258	198
864	1260	196
865	1261	195
866	1262	193
867	1264	192
868	1265	190
869	1266	189
870	1267	187
871	1269	186
872	1270	184
873	1271	183
874	1272	181
875	1275	180
876	1276	179
877	1277	177
878	1279	176
879	1280	174
880	1283	173
881	1284	171
882	1286	170
883	1288	169
884	1291	167
885	1293	166
886	1294	164
887	1296	163
888	1298	162
889	1300	160
890	1302	159
891	1305	158
892	1308	156
893	1310	155
894	1311	153
895	1312	152
896	1313	150
897	1315	149
898	1316	147
899	1318	146
900	1321	145
901	1323	143
902	1325	142
903	1326	140
904	1327	139
905	1329	137
906	1330	136
907	1332	135
908	1337	133
909	1339	132
910	1340	130
911	1341	129
912	1343	128
913	1344	126
914	1346	125
915	1347	123
916	1348	122
917	1353	120
918	1355	119
919	1356	117
920	1357	116
921	1358	114
922	1359	113
923	1360	111
924	1361	110
925	1362	108
926	1363	107
927	1369	106
928	1370	104
929	1372	103
930	1374	101
931	1375	100
932	1376	98
933	1378	97
934	1383	96
935	1385	94
936	1387	93
937	1389	91
938	1390	90
939	1394	88
940	1398	87
941	1399	86
942	1401	84
943	1402	83
944	1403	81
945	1405	80
946	1406	78
947	1407	77
948	1408	75
949	1409	74
950	1412	72
951	1414	71
952	1415	69
953	1416	68
954	1417	66
955	1418	65
956	1419	63
957	1420	62
958	1421	60
959	1422	59
960	1423	57
961	1424	56
962	1428	54
963	1429	53
964	1430	51
965	1431	50
966	1432	48
967	1433	47
968	1434	45
969	1436	44
970	1437	42
971	1438	41
972	1439	39
973	1440	38
974	1443	37
975	1444	35
976	1445	34
977	1446	32
978	1447	31
979	1448	29
980	1450	28
981	1451	26
982	1452	25
983	1453	23
984	1454	22
985	1455	20
986	1458	19
987	1459	17
988	1460	16
989	1461	14
990	1462	13
991	1463	11
992	1464	10
993	1465	8
994	1467	7
995	1468	5
996	1469	4
997	1470	2
998	1474	1
999	1475	0
